pdes,full_name,a,e,i,om,w,q,ad,per_y,condition_code,class,H,H_sigma,G,diameter,diameter_sigma,extent,albedo,rot_per,spec_B,spec_T
1,"     1 Ceres (A801 AA)",2.769165148633284,.0760090265983052,10.59406719506626,80.30553090445737,73.59769469844186,2.558683601195717,2.979646696070851,4.60820178687936,0,MBA,3.4,,0.12,939.4,0.2,"964.4 x 964.2 x 891.8",0.090,9.074170,C,G
2,"     2 Pallas (A802 FA)",2.773841434936674,.2299722589083967,34.83293128848382,173.0247411471266,310.2023924322255,2.135934854290579,3.41174801558277,4.6198795117934,0,MBA,4.2,,0.11,545,18,582x556x500,0.101,7.8132,B,B
3,"     3 Juno (A804 RA)",2.668285288255535,.2569364335025426,12.99104333322611,169.851484129712,248.0661914022166,1.982705582723854,3.353864993787215,4.35869614951864,0,MBA,5.33,,0.32,246.596,10.594,,0.214,7.210,Sk,S
4,"     4 Vesta (A807 FA)",2.361417893971132,.08872145978916499,7.141771087953539,103.8108039679376,150.7285410950405,2.151909451245757,2.570926336696506,3.62883713382991,0,MBA,3.0,,0.32,525.4,0.2,"572.6 x 557.2 x 446.4",0.4228,5.34212766,V,V
5,"     5 Astraea (A845 XA)",2.5740372797851,.1909133446607621,5.367427194855152,141.5710246346721,358.6484193130638,2.082619213419836,3.065455346150363,4.12981360845536,0,MBA,6.9,,,106.699,3.140,,0.274,16.806,S,S
6,"     6 Hebe (A847 NA)",2.424532678648135,.2032188267175665,14.73965324099398,138.643431718922,239.73627352,1.931821992354862,2.917243364941408,3.77528954485644,0,MBA,5.8,,0.24,185.18,2.9,,0.2679,7.2745,S,S
7,"     7 Iris (A847 PA)",2.387375341245345,.2301450445340636,5.521598102778311,259.5639414861789,145.2015458287722,1.83793273701491,2.93681794547578,3.68883523882255,0,MBA,5.6,,,199.83,10.0,,0.2766,7.139,S,S
8,"     8 Flora (A847 UA)",2.201414664775942,.1558327923692447,5.88908062530565,110.8765242517159,285.4589146930341,1.858362070401302,2.544467259150582,3.26633695946769,0,MBA,6.5,,0.28,147.491,1.025,,0.226,12.865,,S
9,"     9 Metis (A848 HA)",2.386189444934798,.1233002383555816,5.57649387157938,68.90945980563237,6.33732380976399,2.091971717612764,2.680407172256831,3.68608701189324,0,MBA,6.3,,0.17,190,,,0.118,5.079,,S
10,"    10 Hygiea (A849 GA)",3.142435383643039,.1121173202027007,3.831786078511589,283.1984452054932,312.4129307728089,2.790113949518836,3.494756817767243,5.57067390631057,0,MBA,5.5,,,407.12,6.8,,0.0717,27.630,C,C
11,"    11 Parthenope (A850 JA)",2.452389779210402,.09982331996804976,4.631822889175971,125.5283813047853,195.3590473652279,2.207584089593907,2.697195468826897,3.84054137699189,0,MBA,6.5,,,142.887,1.008,,0.191,13.7204,Sk,S
12,"    12 Victoria (A850 RA)",2.333777698677048,.2204390913471252,8.372748506371842,235.4010322830478,69.69422268903102,1.819321863374495,2.848233533979602,3.56531109319774,0,MBA,7.3,,0.22,115.087,1.199,,0.163,8.6599,L,S
13,"    13 Egeria (A850 VA)",2.576063887996231,.0852831049363596,16.53553209540407,43.22102044223319,80.41454082499094,2.356369161113482,2.79575861487898,4.13469183695135,0,MBA,6.8,,,202.636,50.084,,0.049,7.045,Ch,G
14,"    14 Irene (A851 KA)",2.586377164029374,.1662498750145228,9.121447902323007,86.1239922314157,97.80167107611945,2.156392283769074,3.016362044289673,4.15954654040293,0,MBA,6.5,,,152,,,0.159,15.028,S,S
15,"    15 Eunomia (A851 OA)",2.643689741835729,.1861776967567718,11.75361932207094,292.9347972482814,98.59525074571755,2.151493674761249,3.13588580891021,4.29856928411288,0,MBA,5.2,,0.23,231.689,2.234,,0.248,6.083,S,S
16,"    16 Psyche (A852 FA)",2.92277557419671,.1335312081367043,3.09655987891098,150.0406823231678,229.0268170864517,2.532493820661773,3.313057327731646,4.99690860528803,0,MBA,5.90,,0.20,226,23,"279 x 232 x 189",0.1203,4.196,X,M
17,"    17 Thetis (A852 HA)",2.470964688751019,.1333227441068608,5.592660739013674,125.5396831969353,135.9741350536322,2.141528895855578,2.80040048164646,3.8842574825346,0,MBA,7.7,,,84.899,2.027,,0.193,12.27048,Sl,S
18,"    18 Melpomene (A852 MA)",2.295708701267524,.2175053246209367,10.1315904948773,150.3651857267417,228.0776830537478,1.796379834963223,2.795037567571826,3.47843083849099,0,MBA,6.6,,0.25,139.594,2.452,,0.181,11.570,S,S
19,"    19 Fortuna (A852 QA)",2.442857072493512,.1569747150946334,1.572666137337341,211.0689955420134,182.2627187143743,2.059390279521933,2.826323865465092,3.81817024681384,0,MBA,7.3,,0.10,200,,,0.037,7.4432,Ch,G
20,"    20 Massalia (A852 SA)",2.409358167739283,.1424937849947222,.7085670437140589,206.013220903458,257.3509335952009,2.066039603010164,2.752676732468402,3.73990224655123,0,MBA,6.50,,0.25,135.680,3.674,,0.241,8.098,S,S
21,"    21 Lutetia (A852 VA)",2.435272005434844,.1633898069446625,3.063966969453917,80.86662969545462,249.9973086525522,2.037373382609104,2.833170628260585,3.80040093991219,0,MBA,7.5,,0.11,95.76,4.1,,0.2212,8.1655,Xk,M
22,"    22 Kalliope (A852 WA)",2.910347527862883,.09804976380262544,13.70173629658164,66.00464581574091,357.2564752992111,2.624988640172373,3.195706415553394,4.96507118900541,0,MBA,6.5,,0.21,167.536,3.053,,0.166,4.1483,X,M
23,"    23 Thalia (A852 XA)",2.625114956004941,.2347517252651223,10.11400359847305,66.84479968136846,60.63247349055822,2.008864691063506,3.241365220946377,4.25334579108433,0,MBA,6.95,,,107.53,2.2,,0.2536,12.312,S,S
24,"    24 Themis (A853 GA)",3.135384856768119,.124421895007763,.7516514658928085,35.92035471802042,106.9819468385035,2.745274331310386,3.525495382225852,5.5519364578631,0,MBA,7.3,,0.19,198,,,0.067,8.374,B,C
25,"    25 Phocaea (A853 GB)",2.399561512585203,.2548956117444365,21.60666665735258,214.1202790971407,90.30961922882817,1.787923812916393,3.011199212254014,3.71711530852909,0,MBA,7.8,,,61.054,2.463,,0.350,9.9341,S,S
26,"    26 Proserpina (A853 JA)",2.655210372073449,.08982831898246932,3.562759562688211,45.77912232806769,193.5714142883805,2.416697287805274,2.893723456341624,4.32669823160245,0,MBA,7.5,,,94.80,1.7,,0.1966,13.110,S,S
27,"    27 Euterpe (A853 VA)",2.346231773867898,.173130990523773,1.583696508046424,94.78724571687158,356.3779263487263,1.9400263428598,2.752437204875996,3.59388826099081,0,MBA,7.0,,,96,,,0.215,10.4082,S,S
28,"    28 Bellona (A854 EA)",2.776153051513908,.1517821232260866,9.429957176619707,144.2869368806118,344.0095155029022,2.354782646954547,3.197523456073268,4.6256557691739,0,MBA,7.2,,,120.90,3.4,,0.1763,15.706,S,S
29,"    29 Amphitrite (A854 EB)",2.554818379325562,.07295912058897963,6.081867746124153,356.3358735874158,63.27356271407629,2.368421077105406,2.741215681545717,4.08364752999786,0,MBA,5.9,,0.20,189.559,1.129,,0.216,5.3921,S,S
30,"    30 Urania (A854 OA)",2.365084760576064,.1277283571148532,2.096021963190929,307.4686482852106,87.31845881112748,2.062996369670307,2.667173151481821,3.63729283287025,0,MBA,7.5,,,92.787,2.040,,0.192,13.686,Sl,S
31,"    31 Euphrosyne (A854 RA)",3.158100280650464,.2199420916167953,26.2800049035616,31.09092908426666,61.62383165527613,2.463501099388612,3.852699461912315,5.61238010737337,0,MBA,6.8,,,267.080,2.611,,0.053,5.530,Cb,C
32,"    32 Pomona (A854 UA)",2.587221173139634,.08163443050949792,5.521632532985286,220.3867067806463,339.0706170601819,2.376014846068265,2.798427500211004,4.16158277565396,0,MBA,7.6,,,80.76,1.6,,0.2564,9.448,S,S
33,"    33 Polyhymnia (A854 UB)",2.874059606786181,.3314689540795269,1.852708086078487,8.459412237933622,338.4144862285106,1.921398074962549,3.826721138609812,4.87250012272145,0,MBA,8.5,,0.33,52.929,2.304,,0.240,18.608,Sq,S
34,"    34 Circe (A855 GA)",2.686002505122247,.1064452418827236,5.49733185371408,184.3439816359392,330.4944434745367,2.400090318766908,2.971914691477586,4.40218026314797,0,MBA,8.6,,,132.992,1.033,,0.023,12.15,Ch,C
35,"    35 Leukothea (A855 HA)",2.994191153927745,.2253082016423154,7.932409837225888,353.7187614184029,213.4265343713588,2.319575329662956,3.668806978192534,5.18116575847326,0,MBA,8.6,,,103.055,1.201,,0.066,31.900,C,C
36,"    36 Atalante (A855 TA)",2.747268313917096,.3051012262719052,18.36902181530588,358.2052823712492,47.81236770920832,1.909073382443041,3.585463245391152,4.55365179243627,0,MBA,8.5,,,132.842,29.191,,0.029,9.93,,C
37,"    37 Fides (A855 TB)",2.642047371714843,.1756452972554428,3.070926977998651,7.258078163988369,62.77226369240277,2.177984175747028,3.106110567682657,4.29456423102592,0,MBA,7.3,,0.24,108.35,1.9,,0.1826,7.3335,S,S
38,"    38 Leda (A856 AA)",2.73864013188233,.1547417218413425,6.971279645845406,295.7222356245596,169.24078422,2.314858242371057,3.162422021393603,4.53221656995261,0,MBA,8.5,,,92.255,0.490,,0.055,12.838,Cgh,C
39,"    39 Laetitia (A856 CA)",2.768872124856308,.1114569162858549,10.37000921642305,156.9480144000551,209.3062780234865,2.460262176229961,3.077482073482654,4.6074703695217,0,MBA,6.1,,,179.484,1.685,,0.269,5.138,S,S
40,"    40 Harmonia (A856 FA)",2.266890392614251,.04719165376311595,4.257392029495385,94.18885681288668,269.4974430430781,2.159912086087065,2.373868699141437,3.41313907707464,0,MBA,7.00,,,111.251,0.391,,0.220,8.910,S,S
41,"    41 Daphne (A856 KA)",2.761286296517842,.27503229091704,15.78819169199725,178.0724822696601,45.93172870067681,2.001843400508711,3.520729192526973,4.58854884057501,0,MBA,7.4,,0.10,205.495,1.881,,0.059,5.988,Ch,C
42,"    42 Isis (A856 KB)",2.442059507991996,.2230467678627158,8.514364351055043,84.19775098045095,237.2569090770828,1.897366027805967,2.986752988178024,3.81630051699314,0,MBA,7.5,,,110.997,1.378,,0.139,13.590,L,S
43,"    43 Ariadne (A857 GA)",2.203158413120384,.1684345770927117,3.471362385682925,264.8093118725182,16.34932945800568,1.832070357538203,2.574246468702566,3.27021864348056,0,MBA,7.9,,0.11,71.340,1.254,,0.234,5.76218,Sk,S
44,"    44 Nysa (A857 KA)",2.424859144902177,.1479927781139082,3.710079409708328,131.4947761739853,343.8644801000436,2.065997503513187,2.783720786291165,3.77605209147116,0,MBA,6.9,,0.46,70.64,4.0,,0.482,6.422,Xc,E
